Value
6818355
7096629
8356309
9240383
8561183
14945766
29875749
45675458
16290927
7886607
5786795
6961968
7182787
7270395
8993189
8605991
8160307
16118149
31460499
47498071
17087865
7825192
5924352
7062144
7633573
8089508
8432607
8559023
9556729
16439738
31142217
47454323
16853386
7252732
5434348
6872717
7800844
7569570
7747466
8256064
8718298
16123525
30871906
46485148
15694947
7144591
5238428
6532698
7910828
7325355
7838706
9033550
8557475
16804177
32237060
48655470
16312194
7361637
5282977
6428841
7786630
7248721
7841336
8717937
8468800
16626049
32904551
48471536
15751291
7222820
5480211
6974339
7666627
7664251
8171234
8742405
8938202
17839768
32325235
46994550
15249093
7338422
5847522
6569350
7523703
7682364
9020343
8149080
9423061
17453142
32054232
47215304
15816847
7334759
5462964
6780765
8041633
7770644
8014088
8500271
10063174
18149789
32816459
48420474
16502492
7529048
5556648
6901373
8250913
7765458
8070772
8912518
10339981
18727453
34463762
48551420
17228465
7944104
5716086
6543050
8979959
8332193
9061481
10662567
10731512
20940009
35933110
51810358
18593157
8446065
6341690
8696057
9070000
8687000
9067000
10922000
11141000
22507000
36149000
53487000
18794000
8689000
6851000
8583000
8225578
8440847
9846406
10101957
10835984
22835174
35914439
52418177
17699229
8497279
6869112
8002938
9145000
8426344
9143333
10838095
12345157
24206693
36489017
52864420
17837885
8649468
6449872
8432814
9188506
9082225
9445936
10360524
12252238
23452565
36801188
51717954
18112784
9276570
6604629
8151872
9382855
8041737
10003219
9865234
11175709
24540784
36493056
51089433
18794970
9395381
6670417
8722859
9701025
8715390
9863340
11804830
11516482
24679830
37909405
51407961
19258591
8793628
6868436
9384519
9201705
8378196
9556478
12320900
11530666
25745192
39297980
52620022
19000687
8784487
7349033
9390725
9202397
9177935
10091143
10279942
13150280
24936652
38294901
52072064
17671931
8571947
6597006
8885073
9435867
8722593
9213545
10572481
13888262
24424629
38267126
53063054
18795005
8784815
6680085
9421049
9659069
8907601
9551937
11055543
12090237
24004274
39323051
52532817
18370828
9153916
6796593
8922181
9980292
8349785
9777842
10963630
11651314
24431480
39547697
51953325
18765273
9430180
6706989
8862863
9361484
7972605
9380510
10995924
10742201
23493532
36637561
49970946
17651037
8164292
7021174
8725229
8400938
7792588
9389380
9417471
10053955
22084072
35318464
48658213
16877569
8167341
7141850
8690392
8510309
7467004
9077759
10565656
11157976
21430742
34535762
47872170
16402616
8238155
6744823
8975327
8631729
7905593
8802990
10156984
12748363
22328245
36773807
49881855
17703097
8963214
6935318
9417849
9229780
8642457
10320008
10092265
10696731
23208060
37200860
49441903
18210222
9514238
7202787
9780988
9559953
8512480
9696334
12537853
11278500
24595388
37885589
49451989
18294647
9365104
7822977
10969555
9777619
8881516
10243168
12472705
11666930
25047109
37221030
49316066
19056360
9349458
8486316
10816114
9321849
9203732
10661398
12928348
11888801
24213784
37340895
49506573
17906871
